Time,RAM [MB],CPU Use [%],GPU Use [%]
13:29:23.354,37.3,8.2,31.4
13:29:25.220,37.3,8.1,31.4
13:29:27.224,37.2,8.1,30.8
13:29:29.405,37.3,8.8,30.8
13:29:31.252,37.3,8.2,30.8
13:29:33.252,37.2,8.7,31.3
13:29:35.453,37.2,8.3,31.3
13:29:37.264,37.3,9.2,31.4
13:29:39.275,37.3,8.6,31.4
13:29:41.523,37.3,11.3,31.4
13:29:43.292,37.3,8.9,31.4
13:29:45.303,37.3,8.3,31.4
13:29:47.307,37.3,11.7,31.4
13:29:49.318,37.3,8.6,31.4
13:29:51.324,37.3,9.1,31.4
13:29:53.338,37.5,19.4,31.2
